ds,GAS
1-3-2008, 21.00 
1-4-2008, 23.53 
1-5-2008, 23.71 
1-6-2008, 22.58 
1-7-2008, 26.68 
1-8-2008, 28.70 
1-9-2008, 30.95 
1-10-2008, 36.68 
1-11-2008, 30.07 
1-12-2008, 31.17 
1-1-2009, 29.41 
1-2-2009, 29.33 
1-3-2009, 21.42 
1-4-2009, 14.00 
1-5-2009, 13.69 
1-6-2009, 14.27 
1-7-2009, 14.93 
1-8-2009, 14.48 
1-9-2009, 14.23 
1-10-2009, 17.71 
1-11-2009, 17.93 
1-12-2009, 17.89 
1-1-2010, 20.91 
1-2-2010, 21.08 
1-3-2010, 21.60 
1-4-2010, 24.22 
1-5-2010, 21.35 
1-6-2010, 22.99 
1-7-2010, 21.31 
1-8-2010, 21.48 
1-9-2010, 19.56 
1-10-2010, 21.67 
1-11-2010, 23.22 
1-12-2010, 23.01 
1-1-2011, 23.87 
1-2-2011, 22.48 
1-3-2011, 22.48 
1-4-2011, 24.04 
1-5-2011, 24.59 
1-6-2011, 24.24 
1-7-2011, 26.61 
1-8-2011, 26.86 
1-9-2011, 28.24 
1-10-2011, 31.76 
1-11-2011, 25.65 
1-12-2011, 26.59 
1-1-2012, 34.82 
1-2-2012, 32.47 
1-3-2012, 33.91 
1-4-2012, 33.89 
1-5-2012, 33.82 
1-6-2012, 37.63 
1-7-2012, 36.43 
1-8-2012, 34.18 
1-9-2012, 29.45 
1-10-2012, 33.53 
1-11-2012, 32.53 
1-12-2012, 34.05 
1-1-2013, 33.28 
1-2-2013, 33.79 
1-3-2013, 32.00 
1-4-2013, 32.85 
1-5-2013, 32.38 
1-6-2013, 32.86 
1-7-2013, 31.99 
1-8-2013, 31.68 
1-9-2013, 30.77 
1-10-2013, 30.08 
1-11-2013, 30.01 
1-12-2013, 30.97 
1-1-2014, 27.44 
1-2-2014, 27.30 
1-3-2014, 27.34 
1-4-2014, 26.89 
1-5-2014, 28.13 
1-6-2014, 28.51 
1-7-2014, 27.62 
1-8-2014, 29.29 
1-9-2014, 28.77 
1-10-2014, 30.08 
1-11-2014, 29.79 
1-12-2014, 30.89 
1-1-2015, 27.47 
1-2-2015, 27.40 
1-3-2015, 28.11 
1-4-2015, 22.65 
1-5-2015, 22.07 
1-6-2015, 22.42 
1-7-2015, 18.90 
1-8-2015, 20.20 
1-9-2015, 18.50 
1-10-2015, 18.60 
1-11-2015, 19.08 
1-12-2015, 19.02 
1-1-2016, 15.63 
1-2-2016, 14.29 
1-3-2016, 15.59 
1-4-2016, 12.61 
1-5-2016, 12.00 
1-6-2016, 12.58 
1-7-2016, 13.55 
1-8-2016, 12.07 
1-9-2016, 13.90 
1-10-2016, 14.69 
1-11-2016, 15.41 
1-12-2016, 16.71 
1-1-2017, 20.18 
1-2-2017, 20.48 
1-3-2017, 21.37 
1-4-2017, 17.33 
1-5-2017, 17.41 
1-6-2017, 17.13 
1-7-2017, 18.08 
1-8-2017, 16.71 
1-9-2017, 16.95 
1-10-2017, 17.17 
1-11-2017, 17.02 
1-12-2017, 17.16 
1-1-2018, 18.13 
1-2-2018, 18.44 
1-3-2018, 17.34 
1-4-2018, 19.63 
1-5-2018, 19.85 
1-6-2018, 20.01 
1-7-2018, 22.31 
1-8-2018, 22.25 
1-9-2018, 22.79 
1-10-2018, 24.12 
1-11-2018, 24.83 
1-12-2018, 25.11 
1-1-2019, 24.37 
1-2-2019, 23.42 
1-3-2019, 22.78 
1-4-2019, 22.81 
1-5-2019, 20.80 
1-6-2019, 21.00 
1-7-2019, 19.08 
1-8-2019, 19.18 
1-9-2019, 16.93 
1-10-2019, 18.46 
1-11-2019, 19.98 
1-12-2019, 20.70 
1-1-2020, 16.24 
1-2-2020, 13.08 
1-3-2020, 11.89 
1-4-2020, 8.58 
1-5-2020, 6.81 
1-6-2020, 5.40 
1-7-2020, 6.11 
1-8-2020, 6.15 
1-9-2020, 8.52 
1-10-2020, 10.96 
1-11-2020, 12.82 
1-12-2020, 13.35 
1-1-2021, 15.51 
1-2-2021, 18.72 
1-3-2021, 16.25 
