file_name,report_id,type,valid,created_date,pull_date,processing_time,attempt_count,file_size
Funding_report,00O1V00000753GPUAY,SFDC,True,2023-04-01 13:37:17.582985,2023-04-01 13:37:47.961832,0:00:30.378847,1,4.2
ELCAF_report,00O4o000004maHQEAY,SFDC,False,2023-04-01 13:37:17.629686,2023-04-01 13:37:14.367176,0:00:00,20,0.0
EMEA_Forecast_report,00O1V000007dpV2,SFDC,True,2023-04-01 13:37:17.630688,2023-04-01 13:40:12.908209,0:02:55.277521,1,29.0
ForecastLockdown,00O4o000003f2uX,SFDC,True,2023-04-01 13:37:17.631686,2023-04-01 13:41:10.789651,0:03:53.157965,1,56.9
FS NGQ Financing Quoted - April,00O1V000007woAw,SFDC,True,2023-04-01 13:37:17.631686,2023-04-01 13:37:49.599816,0:00:31.968130,1,0.3
FS NGQ Financing Quoted - August,00O1V000007woBB,SFDC,True,2023-04-01 13:37:17.632684,2023-04-01 13:38:14.750313,0:00:57.117629,1,0.2
FS NGQ Financing Quoted - December,00O1V000007woAc,SFDC,True,2023-04-01 13:37:17.632684,2023-04-01 13:37:45.559323,0:00:27.926639,1,0.3
FS NGQ Financing Quoted - February,00O1V000007woBQ,SFDC,True,2023-04-01 13:37:17.633685,2023-04-01 13:37:48.548082,0:00:30.914397,1,0.3
FS NGQ Financing Quoted - January,00O1V000007woBL,SFDC,True,2023-04-01 13:37:17.633685,2023-04-01 13:37:46.918931,0:00:29.285246,1,0.2
FS NGQ Financing Quoted - July,00O1V000007wo9f,SFDC,True,2023-04-01 13:37:17.634685,2023-04-01 13:37:46.934534,0:00:29.299849,1,0.2
FS NGQ Financing Quoted - June,00O1V000007woB6,SFDC,True,2023-04-01 13:37:17.634685,2023-04-01 13:38:14.636915,0:00:57.002230,1,0.3
FS NGQ Financing Quoted - March,00O1V000007woBV,SFDC,True,2023-04-01 13:37:17.635685,2023-04-01 13:37:52.512655,0:00:34.876970,1,0.3
FS NGQ Financing Quoted - May,00O1V000007woBG,SFDC,True,2023-04-01 13:37:17.635685,2023-04-01 13:38:14.639916,0:00:57.004231,1,0.2
FS NGQ Financing Quoted - November,00O1V000007woAr,SFDC,True,2023-04-01 13:37:17.636685,2023-04-01 13:37:46.870656,0:00:29.233971,1,0.3
FS NGQ Financing Quoted - October,00O1V000007woB1,SFDC,True,2023-04-01 13:37:17.636685,2023-04-01 13:37:50.598605,0:00:32.961920,1,0.3
FS NGQ Financing Quoted - September,00O1V000007woAm,SFDC,True,2023-04-01 13:37:17.637686,2023-04-01 13:37:48.604167,0:00:30.966481,1,0.4
FS Related Opportunities for NGQ,00O1V000007woAh,SFDC,True,2023-04-01 13:37:17.637686,2023-04-01 13:38:00.939341,0:00:43.301655,1,3.1
FS SSP opps wth Source,00O4o000003f2iH,SFDC,True,2023-04-01 13:37:17.637686,2023-04-01 13:38:11.766725,0:00:54.129039,1,5.5
FS Users w_wo Territories,00O1V000007wo9y,SFDC,True,2023-04-01 13:37:17.638687,2023-04-01 13:37:38.485910,0:00:20.847223,1,15.1
HP Auto Engage Creation,00O1V000007woA8,SFDC,True,2023-04-01 13:37:17.638687,2023-04-01 13:39:41.560977,0:02:23.922290,1,110.7
HPFS HPI Pipeline w Products_mod,00O1V000007woAD,SFDC,True,2023-04-01 13:37:17.639685,2023-04-01 13:39:32.655629,0:02:15.015944,1,123.1
opp_partner_id,00O1V000007woA4,SFDC,True,2023-04-01 13:37:17.639685,2023-04-01 13:38:08.658045,0:00:51.018360,1,3.0
WW HPE Owned FS Pipe_Arg_HK,00O1V000007wmyV,SFDC,True,2023-04-01 13:37:17.639685,2023-04-01 13:43:05.955959,0:05:48.316274,1,151.8
WW HPE Owned FS Pipe_HK_Romania,00O1V000007woAI,SFDC,True,2023-04-01 13:37:17.640685,2023-04-01 13:41:42.186343,0:04:24.545658,1,119.6
WW HPE Owned FS Pipe_UK_other,00O1V000007wnlX,SFDC,True,2023-04-01 13:37:17.640685,2023-04-01 13:42:32.858217,0:05:15.217532,1,101.0
WW HPE Owned FS Pipe_US,00O1V000007wnlc,SFDC,True,2023-04-01 13:37:17.641687,2023-04-01 13:43:02.291160,0:05:44.649473,1,175.4
WW Partner Owned FS Pipe UK_US_1,00O1V000007wnmz,SFDC,True,2023-04-01 13:37:17.641687,2023-04-01 13:41:58.913063,0:04:41.271376,1,109.8
WW Partner Owned FS Pipe UK_US_2,00O1V000007wnnE,SFDC,True,2023-04-01 13:37:17.642686,2023-04-01 13:42:36.859511,0:05:19.216825,1,100.8
WW Partner Owned FS Pipe UK_other,00O1V000007wnlr,SFDC,True,2023-04-01 13:37:17.642686,2023-04-01 13:41:24.967848,0:04:07.325162,1,72.4
WW Partner Owned FS Pipe US,00O1V000007wnm1,SFDC,True,2023-04-01 13:37:17.642686,2023-04-01 13:42:35.609400,0:05:17.966714,1,152.2
WW SFDC FS pipe_opp lvl_last 12 months,00O4o000003f5up,SFDC,True,2023-04-01 13:37:17.643688,2023-04-01 13:38:53.911493,0:01:36.267805,1,28.1
WW SFDC pipe_SSP_MDCP_unf_pub,00O1V000007woA3,SFDC,True,2023-04-01 13:37:17.643688,2023-04-01 13:40:29.238935,0:03:11.595247,1,56.8
HPEFS Activities Summary,00O4o000003f7jpEAA,SFDC,True,2023-04-01 13:37:17.643688,2023-04-01 13:37:33.970423,0:00:16.326735,1,0.5
HPEFS AM Master report,00O4o000003f7joEAA,SFDC,True,2023-04-01 13:37:17.644684,2023-04-01 13:37:44.029984,0:00:26.385300,1,3.0
