𧗊	盡
𤍠	熱
𣏌	耜
𦒋	翰
𥡴	稽
𨽾	隸
𣏓	朽
𤪽	璿
𧰼	象
𥙷	補
𥈠	睿
𩿨	鴟
𨻶	隙
𥖝	磏
𦬊	芑
𥱳	節
𡃰	嚱
𩔔	顒
𤄊	瀍
𤁄	瀍
𣗥	棘
𢎜	弓
𣿼	濬
𤨏	瑣
𨋀	軸
𠩤	原
𠮟	叱
𢋨	㕓
𢖍	衡
𠪨	廛
𧧅	諫
𥨊	寢
𩤍	騶
𨗉	䆳
𧇖	睿
𦣱	賾
𨯳	鑿
𢑥	彚
𩀱	雙
𩔖	類
𧃰	䕫
𨥏	釜
𥿸	絳
𨗹	篴
𥧌	寐
𡏡	壟
𢌞	迴
𦉄	罅
旣	旣
頉	頉
𡉏	圮
𩾃	鮸
𠚤	々
直	直
直	直
𠤎	化
𫋴	衮
𠚇	畫
舉	擧
軆	體
