Unit,Exit,Zone,Technology,Fuel,PowerCapacity,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,RampingCost,PartLoadMin,StartUpTime,CO2Intensity
AG_DIMITRIOS1,,EL,STUR,LIG,274.0,0.3574,8.0,6.0,0.01,0.01,60000.0,0.0,0.547445255,6.0,1.34
AG_DIMITRIOS2,,EL,STUR,LIG,274.0,0.3574,8.0,6.0,0.01,0.01,60000.0,0.0,0.547445255,6.0,1.34
AG_DIMITRIOS3,,EL,STUR,LIG,283.0,0.3588,8.0,6.0,0.01,0.01,60000.0,0.0,0.54770318,6.0,1.34
AG_DIMITRIOS4,,EL,STUR,LIG,283.0,0.3594,8.0,6.0,0.01,0.01,60000.0,0.0,0.54770318,6.0,1.34
AG_DIMITRIOS5,,EL,STUR,LIG,342.0,0.37,8.0,6.0,0.01,0.01,60000.0,0.0,0.549707602,6.0,1.34
KARDIA1,,EL,STUR,LIG,275.0,0.3517,8.0,6.0,0.01,0.01,60000.0,0.0,0.549090909,6.0,1.32
KARDIA2,,EL,STUR,LIG,280.0,0.3517,8.0,6.0,0.01,0.01,60000.0,0.0,0.55,6.0,1.32
KARDIA3,,EL,STUR,LIG,275.0,0.3549,8.0,6.0,0.01,0.01,60000.0,0.0,0.549090909,6.0,1.32
KARDIA4,,EL,STUR,LIG,280.0,0.3555,8.0,6.0,0.01,0.01,60000.0,0.0,0.55,6.0,1.32
MEGALOPOLI3,,EL,STUR,LIG,255.0,0.3517,8.0,6.0,0.01,0.01,60000.0,0.0,0.603921569,6.0,1.49
MEGALOPOLI4,,EL,STUR,LIG,256.0,0.3623,8.0,6.0,0.01,0.01,60000.0,0.0,0.76171875,6.0,1.49
AMYNDEO1,,EL,STUR,LIG,273.0,0.3597,8.0,6.0,0.01,0.01,60000.0,0.0,0.549450549,6.0,1.31
AMYNDEO2,,EL,STUR,LIG,273.0,0.3591,8.0,6.0,0.01,0.01,60000.0,0.0,0.549450549,6.0,1.31
MELITI,,EL,STUR,LIG,289.0,0.3701,8.0,6.0,0.01,0.01,60000.0,0.0,0.522491349,6.0,0.94
ALIVERI5,,EL,COMC,GAS,417.0,0.585,2.0,2.0,0.03,0.03,15000.0,0.0,0.436450839,2.0,0.44
LAVRIO4,,EL,COMC,GAS,550.0,0.51,2.0,2.0,0.03,0.03,15000.0,0.0,0.170909091,2.0,0.44
LAVRIO5,,EL,COMC,GAS,378.0,0.562,2.0,2.0,0.03,0.03,15000.0,0.0,0.582010582,2.0,0.44
KOMOTINI,,EL,COMC,GAS,476.0,0.52,2.0,2.0,0.03,0.03,15000.0,0.0,0.273109244,2.0,0.44
MEGALOPOLI_V,,EL,STUR,LIG,845.0,0.38,8.0,6.0,0.01,0.01,60000.0,0.0,0.295857988,6.0,1.49
HERON_CC,,EL,COMC,GAS,422.0,0.57,2.0,2.0,0.03,0.03,15000.0,0.0,0.462085308,2.0,0.44
