Unit,Exit,Zone,Technology,Fuel,PowerCapacity,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,RampingCost,PartLoadMin,StartUpTime,CO2Intensity
ELPEDISON_THESS,,EL,COMC,GAS,400.0,0.561,2.0,2.0,0.03,0.03,15000.0,0.0,0.55,2.0,0.44
ELPEDISON_THISVI,,EL,COMC,GAS,410.0,0.56,2.0,2.0,0.03,0.03,15000.0,0.0,0.56097561,2.0,0.44
ALOUMINIO,,EL,COMC,GAS,334.0,0.4493,2.0,2.0,0.03,0.03,15000.0,0.0,0.389221557,2.0,0.44
PROTERGIA_CC,,EL,COMC,GAS,432.0,0.58,2.0,2.0,0.03,0.03,15000.0,0.0,0.451388889,2.0,0.44
KORINTHOS_POWER,,EL,COMC,GAS,433.0,0.58,2.0,2.0,0.03,0.03,15000.0,0.0,0.45034642,2.0,0.44
KREMASTA,,EL,HDR,WAT,437.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
KASTRAKI,,EL,HDR,WAT,320.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
STRATOS1,,EL,HDR,WAT,150.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
ILARIONAS,,EL,HDR,WAT,154.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
POLYFYTO,,EL,HDR,WAT,375.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
SFIKIA,,EL,HDR,WAT,315.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
ASOMATA,,EL,HDR,WAT,108.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
THESAVROS,,EL,HDR,WAT,384.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
PLATANOVRYSI,,EL,HDR,WAT,116.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
POURNARI1,,EL,HDR,WAT,300.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
POURNARI2,,EL,HDR,WAT,34.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
P_AOOU,,EL,HDR,WAT,210.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
LADONAS,,EL,HDR,WAT,70.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
PLASTIRAS,,EL,HDR,WAT,130.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
EDESSAIOS,,EL,HDR,WAT,19.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
AGRAS,,EL,HDR,WAT,50.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1.0,0.0
